id_origin,id_destino,times
106,105 / Manhattan/,4
107,101 / Manhattan/,81
107,104 / Manhattan/,611
107,106 / Manhattan/,334
107,110 / Manhattan/,4842
107,111 / Manhattan/,3779
107,112 / Manhattan/,733
107,203 / Bronx/,34
107,205 / Bronx/,40
107,206 / Bronx/,35
107,207 / Bronx/,31
107,208 / Bronx/,60
107,209 / Bronx/,37
107,212 / Bronx/,6
107,301 / Brooklyn/,30
107,303 / Brooklyn/,5
107,304 / Brooklyn/,4
107,307 / Brooklyn/,4
107,308 / Brooklyn/,6
107,401 / Queens/,65
107,405 / Queens/,4
107,406 / Queens/,7
107,407 / Queens/,9
107,409 / Queens/,4
108,101 / Manhattan/,491
108,102 / Manhattan/,355
108,103 / Manhattan/,382
108,104 / Manhattan/,837
108,107 / Manhattan/,4697
108,109 / Manhattan/,724
108,110 / Manhattan/,682
108,112 / Manhattan/,301
108,164 / Manhattan/,865
108,203 / Bronx/,36
108,207 / Bronx/,31
108,208 / Bronx/,35
108,209 / Bronx/,43
108,212 / Bronx/,9
108,301 / Brooklyn/,304
108,303 / Brooklyn/,34
108,305 / Brooklyn/,6
108,306 / Brooklyn/,68
108,307 / Brooklyn/,9
108,309 / Brooklyn/,8
108,313 / Brooklyn/,6
108,317 / Brooklyn/,8
108,401 / Queens/,736
108,402 / Queens/,457
108,403 / Queens/,52
108,404 / Queens/,78
108,405 / Queens/,35
108,406 / Queens/,46
108,407 / Queens/,44
108,410 / Queens/,6
108,411 / Queens/,5
108,412 / Queens/,8
108,413 / Queens/,4
108,480 / Queens/,639
108,483 / Queens/,351
108,501 / Staten Island/,4
109,102 / Manhattan/,5044
109,106 / Manhattan/,6318
109,107 / Manhattan/,97418
109,110 / Manhattan/,82499
109,111 / Manhattan/,44891
109,112 / Manhattan/,51023
109,164 / Manhattan/,7240
109,201 / Bronx/,8066
109,204 / Bronx/,9634
109,208 / Bronx/,3164
109,210 / Bronx/,449
109,211 / Bronx/,634
109,212 / Bronx/,546
109,227 / Bronx/,71
109,301 / Brooklyn/,577
109,302 / Brooklyn/,698
109,305 / Brooklyn/,49
109,306 / Brooklyn/,337
109,309 / Brooklyn/,70
109,310 / Brooklyn/,76
109,312 / Brooklyn/,36
109,316 / Brooklyn/,48
109,317 / Brooklyn/,37
109,402 / Queens/,588
109,403 / Queens/,477
109,408 / Queens/,95
109,409 / Queens/,70
109,410 / Queens/,59
109,413 / Queens/,54
109,414 / Queens/,8
109,480 / Queens/,5846
109,481 / Queens/,55
109,483 / Queens/,4423
109,502 / Staten Island/,6
110,102 / Manhattan/,3878
110,103 / Manhattan/,4223
110,106 / Manhattan/,8679
110,107 / Manhattan/,67953
110,108 / Manhattan/,33949
110,112 / Manhattan/,30617
110,164 / Manhattan/,9801
110,203 / Bronx/,6146
110,205 / Bronx/,5247
110,209 / Bronx/,3863
110,228 / Bronx/,32
110,301 / Brooklyn/,876
110,302 / Brooklyn/,977
110,303 / Brooklyn/,732
110,306 / Brooklyn/,364
110,308 / Brooklyn/,336
110,310 / Brooklyn/,60
110,311 / Brooklyn/,34
110,312 / Brooklyn/,71
110,318 / Brooklyn/,77
110,403 / Queens/,669
110,410 / Queens/,78
110,413 / Queens/,91
110,480 / Queens/,5895
110,481 / Queens/,51
110,482 / Queens/,6
110,483 / Queens/,3255
110,502 / Staten Island/,6
111,101 / Manhattan/,3995
111,102 / Manhattan/,4383
111,103 / Manhattan/,6584
111,105 / Manhattan/,30028
111,107 / Manhattan/,87294
111,109 / Manhattan/,60858
111,202 / Bronx/,3768
111,203 / Bronx/,5278
111,205 / Bronx/,4664
111,207 / Bronx/,3120
111,209 / Bronx/,5691
111,228 / Bronx/,43
111,303 / Brooklyn/,653
111,306 / Brooklyn/,558
111,308 / Brooklyn/,308
111,311 / Brooklyn/,65
111,313 / Brooklyn/,72
111,315 / Brooklyn/,67
111,355 / Brooklyn/,30
111,401 / Queens/,5902
111,405 / Queens/,433
111,406 / Queens/,667
111,407 / Queens/,419
111,408 / Queens/,314
111,411 / Queens/,56
111,412 / Queens/,438
111,413 / Queens/,86
111,414 / Queens/,31
111,480 / Queens/,8386
111,481 / Queens/,79
111,482 / Queens/,7
111,483 / Queens/,3526
111,503 / Staten Island/,7
112,106 / Manhattan/,4120
112,109 / Manhattan/,35973
112,201 / Bronx/,3818
112,202 / Bronx/,933
112,205 / Bronx/,7363
112,207 / Bronx/,7106
112,210 / Bronx/,693
112,212 / Bronx/,825
112,226 / Bronx/,354
112,301 / Brooklyn/,483
112,302 / Brooklyn/,398
112,304 / Brooklyn/,67
112,305 / Brooklyn/,54
112,307 / Brooklyn/,60
112,308 / Brooklyn/,91
112,309 / Brooklyn/,50
112,310 / Brooklyn/,44
112,314 / Brooklyn/,87
112,315 / Brooklyn/,31
112,316 / Brooklyn/,33
112,317 / Brooklyn/,31
112,318 / Brooklyn/,34
112,355 / Brooklyn/,6
112,402 / Queens/,440
112,403 / Queens/,433
112,405 / Queens/,97
112,410 / Queens/,63
112,411 / Queens/,34
112,412 / Queens/,82
112,413 / Queens/,41
112,480 / Queens/,3798
112,501 / Staten Island/,9
112,502 / Staten Island/,5
112,503 / Staten Island/,4
164,101 / Manhattan/,502
164,102 / Manhattan/,748
164,103 / Manhattan/,420
164,105 / Manhattan/,6661
164,111 / Manhattan/,5529
164,112 / Manhattan/,452
164,202 / Bronx/,30
164,203 / Bronx/,31
164,208 / Bronx/,65
164,209 / Bronx/,47
164,303 / Brooklyn/,86
164,305 / Brooklyn/,8
164,306 / Brooklyn/,92
164,311 / Brooklyn/,9
164,312 / Brooklyn/,61
164,313 / Brooklyn/,5
164,318 / Brooklyn/,7
164,355 / Brooklyn/,5
164,401 / Queens/,302
164,403 / Queens/,77
