Origin,Destination,Count
101,101,9
101,102,1
101,105,1
101,301,1
101,302,1
101,303,1
101,307,1
102,102,10
102,104,2
102,105,1
102,107,1
103,101,1
103,103,9
103,104,1
103,106,1
103,107,1
103,111,1
103,204,1
103,211,1
103,301,1
104,102,1
104,104,9
104,106,1
105,104,2
105,105,18
105,106,1
105,308,1
106,103,1
106,105,4
106,106,10
106,108,1
106,302,1
106,314,1
107,101,81
107,102,130
107,103,122
107,104,611
107,105,1001
107,106,334
107,107,5118
107,108,2644
107,109,2636
107,110,4842
107,111,3779
107,112,733
107,164,1196
107,201,169
107,202,18
107,203,34
107,204,141
107,205,40
107,206,35
107,207,31
107,208,60
107,209,37
107,210,13
107,211,21
107,212,6
107,226,1
107,227,1
107,301,30
107,302,24
107,303,5
107,304,4
107,305,2
107,306,11
107,307,4
107,308,6
107,309,1
107,310,2
107,312,2
107,314,1
107,317,3
107,401,65
107,402,25
107,403,24
107,404,12
107,405,4
107,406,7
107,407,9
107,408,3
107,409,4
107,410,3
107,412,2
107,480,238
107,483,193
107,502,1
108,101,491
108,102,355
108,103,382
108,104,837
108,105,2522
108,106,1467
108,107,4697
108,108,8842
108,109,724
108,110,682
108,111,2988
108,112,301
108,164,865
108,201,155
108,202,29
108,203,36
108,204,132
108,205,29
108,206,25
108,207,31
108,208,35
108,209,43
108,210,27
108,211,25
108,212,9
108,226,2
108,227,2
108,228,2
108,301,304
108,302,100
108,303,34
108,304,19
108,305,6
108,306,68
108,307,9
108,308,24
108,309,8
108,310,13
108,311,1
108,312,24
108,313,6
108,314,13
108,315,17
108,316,2
108,317,8
108,318,1
108,355,1
108,401,736
108,402,457
108,403,52
108,404,78
108,405,35
108,406,46
108,407,44
108,408,13
108,409,13
108,410,6
108,411,5
108,412,8
108,413,4
108,414,1
108,480,639
108,481,3
108,483,351
108,501,4
109,101,2713
109,102,5044
109,103,2515
109,104,20066
109,105,21125
109,106,6318
109,107,97418
109,108,29263
109,109,115079
109,110,82499
109,111,44891
109,112,51023
109,164,7240
109,201,8066
109,202,1165
109,203,2160
109,204,9634
109,205,2807
109,206,1061
109,207,2157
109,208,3164
109,209,1441
109,210,449
109,211,634
109,212,546
109,226,135
109,227,71
109,228,10
109,301,577
109,302,698
109,303,231
109,304,114
109,305,49
109,306,337
109,307,105
109,308,131
109,309,70
109,310,76
109,311,27
109,312,36
109,313,10
109,314,116
109,315,24
109,316,48
109,317,37
109,318,28
109,355,21
109,401,1759
109,402,588
109,403,477
109,404,208
109,405,104
109,406,184
109,407,252
109,408,95
109,409,70
109,410,59
109,411,22
109,412,118
109,413,54
109,414,8
109,480,5846
109,481,55
109,482,3
109,483,4423
109,501,11
109,502,6
109,503,2
109,595,1
110,101,2737
110,102,3878
110,103,4223
110,104,16521
110,105,21202
110,106,8679
110,107,67953
110,108,33949
110,109,111440
110,110,233540
110,111,125025
110,112,30617
110,164,9801
110,201,22012
110,202,2837
110,203,6146
110,204,20592
110,205,5247
110,206,2259
110,207,2965
110,208,1910
110,209,3863
110,210,1023
110,211,1351
110,212,1683
110,226,130
110,227,104
110,228,32
110,301,876
110,302,977
110,303,732
110,304,205
110,305,186
110,306,364
110,307,136
110,308,336
110,309,178
110,310,60
110,311,34
110,312,71
110,313,28
110,314,142
110,315,16
110,316,111
110,317,138
110,318,77
110,355,23
110,401,2710
110,402,1106
110,403,669
110,404,270
110,405,187
110,406,236
110,407,164
110,408,166
110,409,101
110,410,78
110,411,18
110,412,273
110,413,91
110,414,13
110,480,5895
110,481,51
110,482,6
110,483,3255
110,501,11
110,502,6
110,503,1
111,101,3995
111,102,4383
111,103,6584
111,104,14499
111,105,30028
111,106,17926
111,107,87294
111,108,144599
111,109,60858
111,110,127785
111,111,221859
111,112,21461
111,164,13816
111,201,23641
111,202,3768
111,203,5278
111,204,14381
111,205,4664
111,206,2446
111,207,3120
111,208,2006
111,209,5691
111,210,1640
111,211,1682
111,212,1386
111,226,136
111,227,134
111,228,43
111,301,1555
111,302,1542
111,303,653
111,304,224
111,305,276
111,306,558
111,307,286
111,308,308
111,309,225
111,310,156
111,311,65
111,312,271
111,313,72
111,314,239
111,315,67
111,316,118
111,317,135
111,318,122
111,355,30
111,401,5902
111,402,1961
111,403,1526
111,404,1113
111,405,433
111,406,667
111,407,419
111,408,314
111,409,250
111,410,124
111,411,56
111,412,438
111,413,86
111,414,31
111,480,8386
111,481,79
111,482,7
111,483,3526
111,501,19
111,502,14
111,503,7
111,595,1
112,101,1725
112,102,2444
112,103,1385
112,104,11484
112,105,10216
112,106,4120
112,107,27427
112,108,11981
112,109,35973
112,110,17051
112,111,10675
112,112,95030
112,164,1349
112,201,3818
112,202,933
112,203,2134
112,204,10741
112,205,7363
112,206,2678
112,207,7106
112,208,10943
112,209,1806
112,210,693
112,211,1411
112,212,825
112,226,354
112,227,176
112,228,16
112,301,483
112,302,398
112,303,145
112,304,67
112,305,54
112,306,197
112,307,60
112,308,91
112,309,50
112,310,44
112,311,17
112,312,100
112,313,14
112,314,87
112,315,31
112,316,33
112,317,31
112,318,34
112,355,6
112,401,1244
112,402,440
112,403,433
112,404,230
112,405,97
112,406,185
112,407,199
112,408,140
112,409,104
112,410,63
112,411,34
112,412,82
112,413,41
112,414,12
112,480,3798
112,481,26
112,482,1
112,483,1969
112,501,9
112,502,5
112,503,4
164,101,502
164,102,748
164,103,420
164,104,2773
164,105,6661
164,106,2400
164,107,15285
164,108,22031
164,109,1646
164,110,1640
164,111,5529
164,112,452
164,164,4211
164,201,149
164,202,30
164,203,31
164,204,131
164,205,28
164,206,23
164,207,23
164,208,65
164,209,47
164,210,16
164,211,10
164,212,14
164,226,2
164,227,2
164,228,1
164,301,253
164,302,220
164,303,86
164,304,11
164,305,8
164,306,92
164,307,21
164,308,27
164,309,20
164,310,28
164,311,9
164,312,61
164,313,5
164,314,21
164,315,12
164,316,10
164,317,12
164,318,7
164,355,5
164,401,302
164,402,184
164,403,77
164,404,72
164,405,19
164,406,58
164,407,14
164,408,17
164,409,10
164,410,3
164,411,4
164,412,14
